Title,Author,Publisher,Publication Year,ISBN
The Croaking Mask,Kymani,Random House Inc.,1827,1044141285
"Tomato Farm, Part 3",Aubrey Medina,"Scholastic, Inc.",1957,1072768123
The Prophecy in the Mist,P.J. Benson,Getty Publications,1991,1188527651
"Strange Tides, Part 2",Laura Erickson,La Santa Sede,1990,1558876330
Sign of the Whispering Claw,F.A. Rolland,O'Reilly Media Inc,1902,1655575501
Dressed for the Occasion,Hadi Schofield,Pearson,1828,1728641723
Mister Silver Fox,Kendall Adam,Random House Inc.,1964,1749748914
Paladin's Legacy,Nathaniel Cook,Cambridge University Press,1814,1796925177
One Kiss Less,Cohen Boyce,Lonely Planet Publications,1837,1837023714
Solar Retreating,Pollyanna May,Cambridge University Press,1831,1845614960
Polar Vortex,Eduard Horne,"Scholastic, Inc.",1893,1947460222
Purple Wolf,Ammar Hulme,HarperCollins Publishers,1808,2016120536
"The House, Part 2",Anastasia Fenton,Cambridge University Press,1982,2053433197
Mister Cage,Shayne Hayden,Getty Publications,1957,2075158132
Boring Protection,Rafe,"Scholastic, Inc.",1989,2207447535
Eight Courage,Tayyibah Grant,HarperCollins Publishers,1895,2463037735
Yummy Union,Ishika,O'Reilly Media Inc,2011,2483082083
Manufacturer,Marion Sykes,Pearson,1921,2496590740
Victorious Menu,Reece Oneill,Pearson,1889,2603837866
Coordinated Requirement,Christine Fulton,HarperCollins Publishers,1900,2648557155
Abrasive History,Odin Webster,"Scholastic, Inc.",1914,2676709894
Nauseating Fishing,Shayaan Hawkins,O'Reilly Media Inc,1916,2686115140
Short Drama,Mahir Beck,O'Reilly Media Inc,1818,2707158575
Unkempt,Farzana Hutchinson,La Santa Sede,1836,2891320656
Reflective Shirt,Jaya Plant,La Santa Sede,1919,2920414470
Miscreant Person,Cristiano Atherton,Pearson,1923,3032286825
Clear Death,Bernard Wall,Getty Publications,1875,3158826393
Lackadaisical Piano,Arjun Benson,"Scholastic, Inc.",1860,3214032773
Disagreeable Relation,Valentino Bass,Random House Inc.,1810,3479173620
Accidental Mall,Carson Burrows,La Santa Sede,2007,3616967412
Previous Concept,Ziva Marshall,O'Reilly Media Inc,1929,3718093124
Rhetorical Wife,Florrie Alvarado,Lonely Planet Publications,2011,3779382455
Aggressive Preference,Donell Lindsey,Pearson,1824,3928465682
Pricey President,Tracy Rowland,Lonely Planet Publications,1828,4151160842
Fat Depth,Kuba Wise,Getty Publications,1819,4354736898
Innate User,Camilla Boone,La Santa Sede,1831,4686076170
Next Environment,Corinne Flowers,La Santa Sede,1935,4691867720
Ancient Temple,Akshay Reeve,Random House Inc.,1827,4699510378
Threatening World,Buddy,"Scholastic, Inc.",1957,4705187347
Limping,Wilfred Bevan,Getty Publications,1991,4857264330
Well-To-Do Confusion,Cadence Burrows,La Santa Sede,1990,4937748264
Left Tongue,Susie Ridley,O'Reilly Media Inc,1902,4964334386
Elegant,Kush Hendrix,Pearson,1828,5066977539
Friendly Reflection,Katey,Random House Inc.,1964,5292829003
Ill Property,Beverley,Cambridge University Press,1814,5301580073
Steady Nature,Tyreese Norman,Lonely Planet Publications,1837,5504818000
Precious Marketing,Garfield Hough,Cambridge University Press,1831,5534770089
Able Historian,Augustus Robertson,"Scholastic, Inc.",1893,5553328681
Frequent Length,Alexandros Nelson,HarperCollins Publishers,1808,5709626605
Gorgeous Surgery,Ira Buxton,Cambridge University Press,1982,5944176350
Ripe Recognition,Samia Ray,Getty Publications,1957,6056663160
Amuck Product,Marcia Hawkins,"Scholastic, Inc.",1989,6095409561
Hapless,Ava-Grace Prentice,HarperCollins Publishers,1895,6145517453
Educational Reading,Lily-May,O'Reilly Media Inc,2011,6245070944
Clumsy Heart,Alfie-James Mcneill,Pearson,1921,6294118102
Squalid,Tobi Lloyd,Pearson,1889,6310317066
Eastern,Jana Lewis,HarperCollins Publishers,1900,6352385063
Mere Control,Neave Macfarlane,"Scholastic, Inc.",1914,6769536993
Flat Event,Prince Raymond,O'Reilly Media Inc,1916,6860018239
Tasty Estate,Margie Deacon,O'Reilly Media Inc,1818,6965449844
Subdued,Frida Peck,La Santa Sede,1836,7012727911
Wretched Depression,Safiyah Henson,La Santa Sede,1919,7139541091
Screeching Championship,Rosemary Hancock,Pearson,1923,7174815673
Plain Classroom,Leoni Mcconnell,Getty Publications,1875,7187329860
Nonchalant Protection,Jolie Bernal,"Scholastic, Inc.",1860,7420180552
Keen Courage,Zavier,Random House Inc.,1810,7702730952
Giddy Union,Eryn Buck,La Santa Sede,2007,7909538269
Funny Manufacturer,Ace Irwin,O'Reilly Media Inc,1929,8030118028
Practical Menu,Everett Silva,Lonely Planet Publications,2011,8087993006
Truculent Requirement,Chloe-Ann Weir,Pearson,1824,8109166272
Juvenile History,Emile Greenwood,Lonely Planet Publications,1828,8185043039
Puzzled,Saad Meyers,Getty Publications,1819,8211124791
Flawless Drama,John-James Brook,La Santa Sede,1831,8258776099
Feeble Appearance,Daria Wharton,La Santa Sede,1935,8425112085
Rampant,Lilianna Mcfarlane,Pearson,1827,8426362211
Grumpy Person,Edison Tait,Pearson,1957,8584355274
Habitual Death,Alishba Tomlinson,HarperCollins Publishers,1991,8648382447
Obsequious Piano,Aahil Frazier,"Scholastic, Inc.",1990,8728035615
Grieving Relation,Uzair,O'Reilly Media Inc,1902,8746111398
Thirsty,Susanna Hicks,O'Reilly Media Inc,1828,8855000017
Logical,Elowen Sheridan,La Santa Sede,1964,9250560851
Awesome,Aaminah Easton,La Santa Sede,1814,9250983985
Suitable Preference,Kabir Willis,Pearson,1837,9366860329
Former President,Tanner Peters,Getty Publications,1831,9444393046
Wide-Eyed Depth,Jagoda Hansen,"Scholastic, Inc.",1893,9505635990
Utopian,Rubi Holder,Random House Inc.,1808,9603458126
Ceaseless Environment,Shivani Petty,La Santa Sede,1982,9619147355
